RestaurantID,CountryCode,Country,City,Cuisines,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Average_Cost_for_two,Rating,Datekey_Opening,Average Ratings,Price Range
3001065,1,India,Coimbatore,"Desserts, Ice Cream",No,No,No,No,300,4.3,2014-05-27,4-4.99,201-400
2100322,1,India,Guwahati,"Chinese, North Indian",No,No,No,No,300,3.6,2013-05-09,3-3.99,201-400
2100074,1,India,Guwahati,"Continental, Fast Food, Chinese, Charcoal Grill, Mexican",No,No,No,No,1000,4,2012-05-04,4-4.99,801-1000
1400544,1,India,Indore,"North Indian, Chinese",No,No,No,No,850,4.1,2011-05-02,4-4.99,801-1000
18209498,1,India,Jaipur,"Italian, Bakery, Continental",No,Yes,No,No,2000,4.9,2015-09-15,4-4.99,1001-2000
1400056,1,India,Indore,"North Indian, Mughlai",No,No,No,No,850,4,2013-05-11,4-4.99,801-1000
1401948,1,India,Indore,"Cafe, Fast Food",No,No,No,No,650,3.8,2014-05-05,3-3.99,601-800
1402089,1,India,Indore,"Cafe, Fast Food",No,No,No,No,500,4.3,2017-05-09,4-4.99,401-600
100080,1,India,Jaipur,Rajasthani,No,No,No,No,1600,4.3,2017-05-10,4-4.99,1001-2000
18378852,1,India,Pune,"Continental, North Indian, Mughlai, Burmese",No,Yes,No,No,2000,4.3,2011-09-02,4-4.99,1001-2000
65055,1,India,Chennai,"North Indian, Continental",No,No,No,No,2000,4.4,2018-06-11,4-4.99,1001-2000
900969,1,India,Kochi,"European, North Indian, Mediterranean, American",No,No,No,No,1500,4.5,2018-05-19,4-4.99,1001-2000
900561,1,India,Kochi,Cafe,No,No,No,No,400,4,2017-05-12,4-4.99,201-400
801690,1,India,Lucknow,"Cafe, Italian, Continental",No,No,No,No,800,4.6,2012-05-24,4-4.99,601-800
801247,1,India,Lucknow,"North Indian, Mughlai, Chinese",No,No,No,No,1000,4.2,2010-05-10,4-4.99,801-1000
15221,1,India,Ludhiana,"North Indian, Chinese, South Indian, Fast Food",No,No,No,No,400,3.9,2012-05-19,3-3.99,201-400
3100153,1,India,Mangalore,"South Indian, North Indian",No,No,No,No,700,3.6,2011-05-24,3-3.99,601-800
18388642,1,India,Mumbai,"Continental, Italian",No,No,No,No,1100,3.8,2013-05-10,3-3.99,1001-2000
3600119,1,India,Mysore,"North Indian, Chinese",No,No,No,No,500,3.5,2017-05-10,3-3.99,401-600
3600014,1,India,Mysore,Finger Food,No,No,No,No,1200,3.7,2015-05-10,3-3.99,1001-2000
3300416,1,India,Nagpur,Cafe,No,No,No,No,350,3.9,2017-05-28,3-3.99,201-400
2700032,1,India,Ranchi,"North Indian, Continental",No,No,No,No,2000,3.4,2013-06-09,3-3.99,1001-2000
